fighter_url,fight_url,Sig. str,Sig. str. %,Head,Body,Leg,Distance,Clinch,Ground
http://ufcstats.com/fighter-details/814ff3018127e8fc,http://ufcstats.com/fight-details/ea824ac4b8ed8a35,40 of 99,40%,15 of 65,11 of 15,14 of 19,33 of 92,7 of 7,0 of 0
http://ufcstats.com/fighter-details/2bd98ab77a8daa75,http://ufcstats.com/fight-details/075a102456080ab2,8 of 17,47%,4 of 12,2 of 2,2 of 3,2 of 4,0 of 0,6 of 13
http://ufcstats.com/fighter-details/c051c2e12d692b8a,http://ufcstats.com/fight-details/075a102456080ab2,3 of 5,60%,3 of 5,0 of 0,0 of 0,3 of 5,0 of 0,0 of 0
http://ufcstats.com/fighter-details/c9cf753cfdf77fc2,http://ufcstats.com/fight-details/84973bbdffaf0d0e,0 of 4,0%,0 of 2,0 of 2,0 of 0,0 of 4,0 of 0,0 of 0
http://ufcstats.com/fighter-details/e2f6b2769aaedd6c,http://ufcstats.com/fight-details/84973bbdffaf0d0e,3 of 5,60%,2 of 4,0 of 0,1 of 1,3 of 5,0 of 0,0 of 0
http://ufcstats.com/fighter-details/29af297d9f1de0f8,http://ufcstats.com/fight-details/e72a2130e7387637,32 of 49,65%,5 of 16,26 of 32,1 of 1,5 of 15,27 of 34,0 of 0
http://ufcstats.com/fighter-details/e0c6edcb5b5d0b90,http://ufcstats.com/fight-details/e72a2130e7387637,73 of 100,73%,59 of 86,13 of 13,1 of 1,8 of 18,17 of 21,48 of 61
http://ufcstats.com/fighter-details/b7c5eb7cdbac6a63,http://ufcstats.com/fight-details/7b4284bd3033a319,47 of 99,47%,25 of 63,7 of 13,15 of 23,46 of 98,1 of 1,0 of 0
http://ufcstats.com/fighter-details/0f1efce7d2571d10,http://ufcstats.com/fight-details/7b4284bd3033a319,50 of 92,54%,23 of 59,22 of 28,5 of 5,45 of 87,5 of 5,0 of 0
http://ufcstats.com/fighter-details/45f0cc9d18f35137,http://ufcstats.com/fight-details/6aa89b7b5350b8e2,59 of 78,75%,23 of 34,4 of 5,32 of 39,58 of 77,1 of 1,0 of 0
http://ufcstats.com/fighter-details/32feae6d9a1e5047,http://ufcstats.com/fight-details/6aa89b7b5350b8e2,16 of 69,23%,6 of 55,5 of 8,5 of 6,15 of 63,0 of 0,1 of 6
http://ufcstats.com/fighter-details/3143bf892608139a,http://ufcstats.com/fight-details/e0b14afd93af5638,94 of 135,69%,30 of 58,38 of 50,26 of 27,58 of 94,36 of 41,0 of 0
http://ufcstats.com/fighter-details/af9efbfd63d39734,http://ufcstats.com/fight-details/e0b14afd93af5638,56 of 124,45%,31 of 90,25 of 34,0 of 0,29 of 88,27 of 36,0 of 0
http://ufcstats.com/fighter-details/148bb103cfbf123e,http://ufcstats.com/fight-details/1332c1037c955d82,2 of 5,40%,2 of 4,0 of 1,0 of 0,0 of 3,0 of 0,2 of 2
http://ufcstats.com/fighter-details/68b8ebdfce9dbb61,http://ufcstats.com/fight-details/1332c1037c955d82,26 of 38,68%,23 of 34,3 of 4,0 of 0,7 of 17,1 of 1,18 of 20
http://ufcstats.com/fighter-details/351c4ec637380ad5,http://ufcstats.com/fight-details/a7ac1dfcdc083694,117 of 194,60%,70 of 132,8 of 9,39 of 53,100 of 170,16 of 23,1 of 1
http://ufcstats.com/fighter-details/91dac5e69e28d5b5,http://ufcstats.com/fight-details/a7ac1dfcdc083694,92 of 182,50%,56 of 138,20 of 27,16 of 17,82 of 163,10 of 19,0 of 0
http://ufcstats.com/fighter-details/25f9a5f3e8a52618,http://ufcstats.com/fight-details/6bcaa0de4003cc41,59 of 103,57%,32 of 75,3 of 3,24 of 25,58 of 101,1 of 2,0 of 0
http://ufcstats.com/fighter-details/d35f734c56a89103,http://ufcstats.com/fight-details/6bcaa0de4003cc41,29 of 84,34%,22 of 74,2 of 4,5 of 6,25 of 75,0 of 0,4 of 9
http://ufcstats.com/fighter-details/52c2ae6d2f2d2613,http://ufcstats.com/fight-details/cd9851b8eadb53a9,10 of 12,83%,2 of 2,1 of 1,7 of 9,10 of 12,0 of 0,0 of 0
http://ufcstats.com/fighter-details/082eba4cd80f736f,http://ufcstats.com/fight-details/cd9851b8eadb53a9,6 of 26,23%,3 of 22,3 of 3,0 of 1,6 of 26,0 of 0,0 of 0
http://ufcstats.com/fighter-details/1b35af4d1529adf6,http://ufcstats.com/fight-details/1b5d5af1bc0a34c7,72 of 175,41%,49 of 139,14 of 22,9 of 14,66 of 167,5 of 7,1 of 1
http://ufcstats.com/fighter-details/d35298b6df168456,http://ufcstats.com/fight-details/1b5d5af1bc0a34c7,41 of 151,27%,20 of 100,16 of 44,5 of 7,36 of 141,5 of 9,0 of 1
http://ufcstats.com/fighter-details/65f09bacd3957381,http://ufcstats.com/fight-details/33655fd07cfbe034,71 of 159,44%,26 of 94,18 of 32,27 of 33,71 of 158,0 of 1,0 of 0
http://ufcstats.com/fighter-details/2b6fc1c02736833d,http://ufcstats.com/fight-details/33655fd07cfbe034,98 of 187,52%,48 of 124,27 of 39,23 of 24,96 of 182,2 of 5,0 of 0
http://ufcstats.com/fighter-details/06734ca9d88dec3a,http://ufcstats.com/fight-details/b38450d9aa0f52b8,97 of 178,54%,52 of 112,33 of 52,12 of 14,89 of 163,8 of 15,0 of 0
http://ufcstats.com/fighter-details/0d65c432720accb9,http://ufcstats.com/fight-details/b38450d9aa0f52b8,77 of 146,52%,45 of 103,18 of 27,14 of 16,72 of 138,4 of 6,1 of 2
http://ufcstats.com/fighter-details/7c7332319c14094c,http://ufcstats.com/fight-details/bb85e207eba236bc,52 of 117,44%,15 of 67,15 of 22,22 of 28,46 of 108,6 of 9,0 of 0
