fighter_url,fight_url,referee,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Rev.,Ctrl
http://ufcstats.com/fighter-details/5987b2458f4b5290,http://ufcstats.com/fight-details/bc6d70ab959dce70,Mike Beltran,1,11 of 21,52%,18 of 29,1 of 3,33%,0,0,1:16
http://ufcstats.com/fighter-details/bbab3baf66128ae2,http://ufcstats.com/fight-details/bc6d70ab959dce70,Mike Beltran,0,20 of 36,55%,21 of 38,0 of 0,---,0,0,0:01
http://ufcstats.com/fighter-details/0f1efce7d2571d10,http://ufcstats.com/fight-details/615f7f894bafad82,Kevin MacDonald,0,5 of 19,26%,21 of 36,0 of 0,---,0,0,0:00
http://ufcstats.com/fighter-details/32c3ee378671a5d9,http://ufcstats.com/fight-details/615f7f894bafad82,Kevin MacDonald,0,39 of 52,75%,102 of 121,2 of 4,50%,1,0,7:21
http://ufcstats.com/fighter-details/49d2a08964c5eb11,http://ufcstats.com/fight-details/e9dfc2f009a77a8d,Keith Peterson,2,20 of 42,47%,24 of 46,0 of 0,---,0,0,0:36
http://ufcstats.com/fighter-details/9508cc6184cb2450,http://ufcstats.com/fight-details/e9dfc2f009a77a8d,Keith Peterson,0,5 of 13,38%,6 of 16,0 of 0,---,0,0,0:00
http://ufcstats.com/fighter-details/476fe566d2df676e,http://ufcstats.com/fight-details/b6475543ab6d20c9,Jeff Hoiby,1,16 of 41,39%,16 of 41,0 of 0,---,0,0,0:02
http://ufcstats.com/fighter-details/09a4447655fd4b7b,http://ufcstats.com/fight-details/b6475543ab6d20c9,Jeff Hoiby,0,9 of 22,40%,9 of 22,0 of 0,---,0,0,0:00
http://ufcstats.com/fighter-details/13a0275fa13c4d26,http://ufcstats.com/fight-details/365e2d891b98b86d,Herb Dean,2,98 of 201,48%,109 of 215,1 of 3,33%,0,0,2:09
http://ufcstats.com/fighter-details/d1c65d2cf2925ddd,http://ufcstats.com/fight-details/365e2d891b98b86d,Herb Dean,2,93 of 221,42%,95 of 225,0 of 3,0%,0,0,0:17
http://ufcstats.com/fighter-details/751de04455cfaac0,http://ufcstats.com/fight-details/68913a422f548ccc,Dan Miragliotta,0,38 of 134,28%,38 of 134,0 of 0,---,0,0,0:00
http://ufcstats.com/fighter-details/52c2ae6d2f2d2613,http://ufcstats.com/fight-details/68913a422f548ccc,Dan Miragliotta,0,74 of 133,55%,75 of 134,0 of 8,0%,0,0,0:00
http://ufcstats.com/fighter-details/4144798612ef96e5,http://ufcstats.com/fight-details/f5386c98fea7f5d4,Chris Tognoni,1,7 of 15,46%,7 of 15,0 of 0,---,0,0,0:03
http://ufcstats.com/fighter-details/a817e238b2747404,http://ufcstats.com/fight-details/f5386c98fea7f5d4,Chris Tognoni,0,1 of 16,6%,1 of 16,0 of 0,---,0,0,0:00
