fighter_url,fight_url,Sig. str,Sig. str. %,Head,Body,Leg,Distance,Clinch,Ground
http://ufcstats.com/fighter-details/0f1efce7d2571d10,http://ufcstats.com/fight-details/df2ed8b509fbdbdc,56 of 105,53%,32 of 78,21 of 24,3 of 3,34 of 75,15 of 17,7 of 13
http://ufcstats.com/fighter-details/2f815ed5f8278ba6,http://ufcstats.com/fight-details/72e477b41f44e358,19 of 37,51%,16 of 34,3 of 3,0 of 0,16 of 33,1 of 1,2 of 3
http://ufcstats.com/fighter-details/0cd0456d6029cec2,http://ufcstats.com/fight-details/72e477b41f44e358,2 of 5,40%,1 of 3,0 of 1,1 of 1,2 of 5,0 of 0,0 of 0
http://ufcstats.com/fighter-details/a01a62132460a98d,http://ufcstats.com/fight-details/37bc72d5d211b189,14 of 27,51%,5 of 16,2 of 4,7 of 7,13 of 23,1 of 4,0 of 0
http://ufcstats.com/fighter-details/e803242fb2e41112,http://ufcstats.com/fight-details/37bc72d5d211b189,21 of 41,51%,17 of 37,3 of 3,1 of 1,16 of 35,2 of 3,3 of 3
http://ufcstats.com/fighter-details/70e1f8a821b72c8b,http://ufcstats.com/fight-details/798652dbea086910,5 of 18,27%,5 of 18,0 of 0,0 of 0,4 of 17,0 of 0,1 of 1
http://ufcstats.com/fighter-details/6370c1c1e12723d5,http://ufcstats.com/fight-details/798652dbea086910,21 of 36,58%,7 of 21,9 of 10,5 of 5,13 of 28,6 of 6,2 of 2
http://ufcstats.com/fighter-details/a67f5afa8d6a1b80,http://ufcstats.com/fight-details/182ee320edb1b5ed,8 of 19,42%,8 of 19,0 of 0,0 of 0,2 of 10,0 of 0,6 of 9
http://ufcstats.com/fighter-details/0c25d0a5e8cdbf19,http://ufcstats.com/fight-details/182ee320edb1b5ed,5 of 8,62%,1 of 4,0 of 0,4 of 4,5 of 8,0 of 0,0 of 0
http://ufcstats.com/fighter-details/1e719d4b676dc19a,http://ufcstats.com/fight-details/74099d470e8d2765,7 of 9,77%,4 of 5,1 of 2,2 of 2,6 of 8,0 of 0,1 of 1
http://ufcstats.com/fighter-details/3eeec2f53cebdf12,http://ufcstats.com/fight-details/74099d470e8d2765,4 of 15,26%,3 of 13,1 of 2,0 of 0,4 of 15,0 of 0,0 of 0
http://ufcstats.com/fighter-details/f1ab6f37492c630a,http://ufcstats.com/fight-details/a602c68147b752b2,109 of 225,48%,85 of 193,24 of 32,0 of 0,96 of 210,10 of 12,3 of 3
http://ufcstats.com/fighter-details/fc0a4053eb8a3a59,http://ufcstats.com/fight-details/a602c68147b752b2,32 of 101,31%,26 of 85,3 of 12,3 of 4,30 of 98,2 of 3,0 of 0
http://ufcstats.com/fighter-details/d3df1add9d9a7efb,http://ufcstats.com/fight-details/0adfc21045c02555,9 of 17,52%,8 of 16,1 of 1,0 of 0,2 of 6,1 of 2,6 of 9
http://ufcstats.com/fighter-details/17923f676f100e16,http://ufcstats.com/fight-details/0adfc21045c02555,3 of 5,60%,3 of 5,0 of 0,0 of 0,3 of 5,0 of 0,0 of 0
