fight_url,fighter_1_url,fighter_2_url,event_url,weight_class,method,method_type,round,time,time_seconds,total_fight_time_seconds,winner
e28e829800466aca,c1085e1701b13eca,8c0580d4fff106c1,18c49685296c60e6,Middleweight,U-DEC,Unanimous Decision,3,5:00,300,900,c1085e1701b13eca
df5dac45fc585fb0,bc711b6dd95c1af6,2cfba6c837c03ed0,18c49685296c60e6,Bantamweight,U-DEC,Unanimous Decision,3,5:00,300,900,bc711b6dd95c1af6
2129acab2280bd29,3a46b268013afede,6d4b63c767106d3a,18c49685296c60e6,Welterweight,SUB,Submission,2,1:03,63,363,3a46b268013afede
b6a87389bdc36a00,17e97649403ba428,294aa73dbf37d281,18c49685296c60e6,Flyweight,KO/TKO,Knockout or Technical Knockout,3,4:01,241,841,17e97649403ba428
01100a90b584215d,e90a2f22417af68e,49edd0d90f60fb7d,18c49685296c60e6,Light Heavyweight,KO/TKO,Knockout or Technical Knockout,1,3:25,205,205,e90a2f22417af68e
ac977a0389682124,fc08099550072fe4,e2f6b2769aaedd6c,18c49685296c60e6,Heavyweight,U-DEC,Unanimous Decision,3,5:00,300,900,fc08099550072fe4
f0488a4486a64af0,2caf993f53541fa1,2558ae2e5671e318,18c49685296c60e6,Welterweight,U-DEC,Unanimous Decision,3,5:00,300,900,2caf993f53541fa1
d078e9046aa86307,2997e7fe3c9d3d4a,6551c64fbcd1a467,18c49685296c60e6,Women's Flyweight,U-DEC,Unanimous Decision,3,5:00,300,900,2997e7fe3c9d3d4a
9f4a0de31375ba04,a44020ea2e8cd026,57186c150c645200,18c49685296c60e6,Featherweight,KO/TKO,Knockout or Technical Knockout,1,0:28,28,28,a44020ea2e8cd026
2e4064e0e6d4d92e,17734443a833cdf7,c739c2995a275314,18c49685296c60e6,Lightweight,U-DEC,Unanimous Decision,3,5:00,300,900,17734443a833cdf7
0e8599eca8ccfa32,e2be0c1a9b886d92,001eb2ab0f30e7ea,18c49685296c60e6,Lightweight,U-DEC,Unanimous Decision,3,5:00,300,900,e2be0c1a9b886d92
212527d462690304,72db2a14ffa73ece,5b86d491d63890c5,2a898bf9fb7710b3,Lightweight,U-DEC,Unanimous Decision,3,5:00,300,900,72db2a14ffa73ece
305d8c85b35a7d4e,3d074044a33825e7,fa07345cc9db5cc9,2a898bf9fb7710b3,Welterweight,SUB,Submission,1,3:16,196,196,3d074044a33825e7
7aaa810540132a4b,e4277e87a789d687,0abcf6bc47191219,2a898bf9fb7710b3,Light Heavyweight,KO/TKO,Knockout or Technical Knockout,1,1:50,110,110,e4277e87a789d687
106918bfbe24335d,b9706f80d005036c,9cdd2da1a9104a0b,2a898bf9fb7710b3,Women's Featherweight,U-DEC,Unanimous Decision,3,5:00,300,900,b9706f80d005036c
ad68450307a21ab1,23dec7c47cb418f8,866fd7b1a6c90e7f,2a898bf9fb7710b3,Middleweight,U-DEC,Unanimous Decision,3,5:00,300,900,23dec7c47cb418f8
baa2ee0bf7f97079,253076a23d03dcd0,65adf3856c4d9256,2a898bf9fb7710b3,Flyweight,U-DEC,Unanimous Decision,3,5:00,300,900,253076a23d03dcd0
2521fed000747f47,ac026518a9b4dc0f,a7151778b3381036,2a898bf9fb7710b3,Lightweight,SUB,Submission,1,1:39,99,99,ac026518a9b4dc0f
ae89ba793121fe0c,4bdedbdeedff7d1d,01c9e4013afce141,2a898bf9fb7710b3,Lightweight,U-DEC,Unanimous Decision,3,5:00,300,900,4bdedbdeedff7d1d
73240bea13ed5e71,87f8699fdcc2c404,02bb48869eb7ac8f,2a898bf9fb7710b3,Women's Strawweight,U-DEC,Unanimous Decision,3,5:00,300,900,87f8699fdcc2c404
a81ad236a2f221f2,c32aeb1a59e6272d,23024fdfc966410a,8ad022dd81224f61,Welterweight,KO/TKO,Knockout or Technical Knockout,1,3:39,219,219,c32aeb1a59e6272d
dcb27eef6441268c,480779d7f9a424d3,94426bb170c88115,8ad022dd81224f61,Lightweight,U-DEC,Unanimous Decision,3,5:00,300,900,480779d7f9a424d3
b3044bf646306e7f,49d2a08964c5eb11,71505842fb6455c3,8ad022dd81224f61,Middleweight,U-DEC,Unanimous Decision,3,5:00,300,900,49d2a08964c5eb11
fe2acfdaaaec3dba,20bccc9bb4ceb23e,902ec2cc48c8ae8a,8ad022dd81224f61,Featherweight,U-DEC,Unanimous Decision,3,5:00,300,900,20bccc9bb4ceb23e
a9a6cca4bbf7a5db,5eb50529a8418b77,72f890c5d421e705,8ad022dd81224f61,Lightweight,SUB,Submission,2,3:43,223,523,5eb50529a8418b77
8ba31cf0b3164b72,7026eca45f65377b,d945aae53e3e54e6,8ad022dd81224f61,Lightweight,KO/TKO,Knockout or Technical Knockout,1,3:37,217,217,7026eca45f65377b
d6e2bc6e6c0cc4fe,70380ccdc81915b8,36e78278a77006d4,8ad022dd81224f61,Featherweight,SUB,Submission,1,2:54,174,174,70380ccdc81915b8
f75fe8b384b0db11,5078e1dacf9d25f4,2c5f5749569eef66,8ad022dd81224f61,Women's Bantamweight,SUB,Submission,2,4:59,299,599,5078e1dacf9d25f4
66887532be2de5ee,cffb87059e645bd1,ac7c765882f2c68c,8ad022dd81224f61,Women's Strawweight,KO/TKO,Knockout or Technical Knockout,2,0:30,30,330,cffb87059e645bd1
18a7dc86279066f8,b671bdf981ad527d,798e48f9e7f6ba22,8ad022dd81224f61,Flyweight,SUB,Submission,1,2:26,146,146,b671bdf981ad527d
afdd95ae7b7cdb0c,31ef8b67e13495b3,a3a542074109b347,8ad022dd81224f61,Women's Strawweight,U-DEC,Unanimous Decision,3,5:00,300,900,31ef8b67e13495b3
b873c116e39c9920,6b453bc35a823c3f,b1b0729d27936f2f,118463dd8db16e7f,Welterweight,U-DEC,Unanimous Decision,5,5:00,300,1500,6b453bc35a823c3f
9e9d1764a015f313,132deb59abae64b1,34ff304266360297,118463dd8db16e7f,Women's Flyweight,U-DEC,Unanimous Decision,5,5:00,300,1500,132deb59abae64b1
891b2faf1bff38ee,24656ef4d605c96f,d0f3959b4a9747e6,118463dd8db16e7f,Featherweight,U-DEC,Unanimous Decision,3,5:00,300,900,24656ef4d605c96f
0f53eb509d0ffeb9,262d32ebda89efc4,e8b731feff72294b,118463dd8db16e7f,Women's Flyweight,U-DEC,Unanimous Decision,3,5:00,300,900,262d32ebda89efc4
c7190cd03e53fb61,c2299ec916bc7c56,873626e5547b5235,118463dd8db16e7f,Lightweight,SUB,Submission,2,2:35,155,455,c2299ec916bc7c56
2521234a4bf7c615,dd6103dd7127db1d,feedf3053472fe56,118463dd8db16e7f,Welterweight,KO/TKO,Knockout or Technical Knockout,2,0:26,26,326,dd6103dd7127db1d
4db2d86ebe8c8abd,a9e260472d321361,6a1901c62ab3870f,118463dd8db16e7f,Women's Flyweight,SUB,Submission,1,2:40,160,160,a9e260472d321361
c812457a810dde39,476fe566d2df676e,cd13728ae1151f46,118463dd8db16e7f,Light Heavyweight,S-DEC,Split Decision,3,5:00,300,900,476fe566d2df676e
99aa1f28e22bb6dd,b4b496ec2197ee3e,64ad3e3b0efa30bb,118463dd8db16e7f,Light Heavyweight,U-DEC,Unanimous Decision,3,5:00,300,900,b4b496ec2197ee3e
6ecfa439ef900bcc,8e9eb3fc86db0f7d,12ebd7d157e91701,118463dd8db16e7f,Middleweight,KO/TKO,Knockout or Technical Knockout,1,1:27,87,87,8e9eb3fc86db0f7d
0e0a4282cd6c86d7,b67d6bacc68d4c92,d008d785f6347dc2,118463dd8db16e7f,Featherweight,U-DEC,Unanimous Decision,3,5:00,300,900,b67d6bacc68d4c92
c20bd12ae7f04eff,a4dc0f2b95df4cc1,7b433309b0fd12aa,118463dd8db16e7f,Bantamweight,KO/TKO,Knockout or Technical Knockout,1,1:04,64,64,a4dc0f2b95df4cc1
