fighter_url,fight_url,referee,significant_strikes_landed,significant_strikes_attempted,significant_strike_accuracy,head_strikes_landed,head_strikes_attempted,body_strikes_landed,body_strikes_attempted,leg_strikes_landed,leg_strikes_attempted,distance_strikes_landed,distance_strikes_attempted,clinch_strikes_landed,clinch_strikes_attempted,ground_strikes_landed,ground_strikes_attempted,total_strikes_landed,total_strikes_attempted,takedowns_landed,takedowns_attempted,takedown_accuracy,knockdowns,submission_attempts,reversals,control_time_seconds,significant_strike_accuracy_opponent
2f181c0467965b98,8e1feda9141602f1,Bassel Mahgoub,111,224,0.49,86,194,18,23,7,7,100,210,4,4,7,10,119,233,3,4,0.75,0,0,0,87,0.49
3920d0cc288f9b0d,df2ed8b509fbdbdc,Jason Herzog,47,77,0.61,34,58,5,11,8,8,34,62,5,5,8,10,64,94,3,10,0.3,0,1,0,409,0.61
0f1efce7d2571d10,df2ed8b509fbdbdc,Jason Herzog,56,105,0.53,32,78,21,24,3,3,34,75,15,17,7,13,84,133,2,6,0.33,0,0,1,153,0.53
2f815ed5f8278ba6,72e477b41f44e358,Herb Dean,19,37,0.51,16,34,3,3,0,0,16,33,1,1,2,3,19,37,0,0,,1,0,0,1,0.51
0cd0456d6029cec2,72e477b41f44e358,Herb Dean,2,5,0.4,1,3,0,1,1,1,2,5,0,0,0,0,2,5,0,0,,0,0,0,0,0.4
a01a62132460a98d,37bc72d5d211b189,Mike Beltran,14,27,0.51,5,16,2,4,7,7,13,23,1,4,0,0,16,29,0,3,0.0,0,0,0,59,0.51
e803242fb2e41112,37bc72d5d211b189,Mike Beltran,21,41,0.51,17,37,3,3,1,1,16,35,2,3,3,3,23,44,0,0,,1,0,0,2,0.51
70e1f8a821b72c8b,798652dbea086910,Dan Miragliotta,5,18,0.27,5,18,0,0,0,0,4,17,0,0,1,1,11,27,3,6,0.5,0,2,0,138,0.27
6370c1c1e12723d5,798652dbea086910,Dan Miragliotta,21,36,0.58,7,21,9,10,5,5,13,28,6,6,2,2,37,54,0,0,,0,0,0,8,0.58
a67f5afa8d6a1b80,182ee320edb1b5ed,Chris Hill,8,19,0.42,8,19,0,0,0,0,2,10,0,0,6,9,8,19,1,1,1.0,0,2,0,134,0.42
