fight_url,fighter_1_url,fighter_2_url,event_url,weight_class,method,method_type,round,time,time_seconds,total_fight_time_seconds,winner
a95b03e9b5a91e47,511e82663651438d,4148802ae4a50768,b8e2f10efb6eca85,Lightweight,U-DEC,Unanimous Decision,3,5:00,300,900,511e82663651438d
d2cb92fdf6a497e9,18d01f7f8338ae72,60425d07ef4b91a7,b8e2f10efb6eca85,Bantamweight,U-DEC,Unanimous Decision,3,5:00,300,900,18d01f7f8338ae72
8e1feda9141602f1,2f181c0467965b98,7acbb0972e75281a,b8e2f10efb6eca85,Middleweight,U-DEC,Unanimous Decision,3,5:00,300,900,2f181c0467965b98
df2ed8b509fbdbdc,0f1efce7d2571d10,3920d0cc288f9b0d,b8e2f10efb6eca85,Welterweight,S-DEC,Split Decision,3,5:00,300,900,0f1efce7d2571d10
72e477b41f44e358,2f815ed5f8278ba6,0cd0456d6029cec2,b8e2f10efb6eca85,Middleweight,KO/TKO,Knockout or Technical Knockout,1,1:10,70,70,2f815ed5f8278ba6
37bc72d5d211b189,e803242fb2e41112,a01a62132460a98d,b8e2f10efb6eca85,Welterweight,KO/TKO,Knockout or Technical Knockout,1,4:06,246,246,e803242fb2e41112
798652dbea086910,70e1f8a821b72c8b,6370c1c1e12723d5,b8e2f10efb6eca85,Light Heavyweight,SUB,Submission,1,4:42,282,282,70e1f8a821b72c8b
182ee320edb1b5ed,a67f5afa8d6a1b80,0c25d0a5e8cdbf19,b8e2f10efb6eca85,Heavyweight,SUB,Submission,1,2:47,167,167,a67f5afa8d6a1b80
74099d470e8d2765,1e719d4b676dc19a,3eeec2f53cebdf12,b8e2f10efb6eca85,Middleweight,SUB,Submission,1,3:35,215,215,1e719d4b676dc19a
a602c68147b752b2,f1ab6f37492c630a,fc0a4053eb8a3a59,b8e2f10efb6eca85,Women's Flyweight,KO/TKO,Knockout or Technical Knockout,3,1:30,90,690,f1ab6f37492c630a
0adfc21045c02555,d3df1add9d9a7efb,17923f676f100e16,7b03d9df5910917d,Heavyweight,KO/TKO,Knockout or Technical Knockout,1,0:35,35,35,d3df1add9d9a7efb
2a03bc4c491b4c9a,01641ba5df0c69b0,4a28cb716c19157a,7b03d9df5910917d,Welterweight,S-DEC,Split Decision,3,5:00,300,900,01641ba5df0c69b0
f368475c366c6d85,97cf1a2c7c5e7889,751de04455cfaac0,7b03d9df5910917d,Featherweight,U-DEC,Unanimous Decision,3,5:00,300,900,97cf1a2c7c5e7889
4e5d4a36eaaa3a78,5b03b61f9d90125e,583ee11abddfc581,7b03d9df5910917d,Featherweight,KO/TKO,Knockout or Technical Knockout,3,0:27,27,627,5b03b61f9d90125e
4b75d3b7738cb278,71171fc96445bf65,be9bdec19b7e9ffe,7b03d9df5910917d,Heavyweight,SUB,Submission,1,4:16,256,256,71171fc96445bf65
b19bf99c7eb796bc,3e8118c1ab52f211,c15fa95b9a12fde4,7b03d9df5910917d,Light Heavyweight,SUB,Submission,2,4:25,265,565,3e8118c1ab52f211
236f811290163dca,5442f1bc4b47eaf3,b0d6a1d8ac3d563d,7b03d9df5910917d,Welterweight,S-DEC,Split Decision,3,5:00,300,900,5442f1bc4b47eaf3
d5e3be7a07c48b08,a845f0735bc67405,c68c68efaa5ca6ef,7b03d9df5910917d,Welterweight,SUB,Submission,1,1:09,69,69,a845f0735bc67405
46bc1338a50cbeac,de594b35c45c2e9a,729d4bd5a6cd0a97,7b03d9df5910917d,Women's Flyweight,U-DEC,Unanimous Decision,3,5:00,300,900,de594b35c45c2e9a
5c650ae2193ab1bc,f5779a2303ed76ec,8667caa0451d245b,7b03d9df5910917d,Heavyweight,SUB,Submission,1,0:54,54,54,f5779a2303ed76ec
7f33fbdc35afd721,fb3e61720be4690c,e99eb0ef25885de5,7b03d9df5910917d,Lightweight,KO/TKO,Knockout or Technical Knockout,2,4:08,248,548,fb3e61720be4690c
120d66cb0da0f3c3,745fa7b605f8e2da,3f4c3bc822bea45d,7b03d9df5910917d,Women's Strawweight,KO/TKO,Knockout or Technical Knockout,3,2:36,156,756,745fa7b605f8e2da
7a64d63e12618ba7,54f64b5e283b0ce7,07225ba28ae309b6,66766984842c13dc,Lightweight,KO/TKO,Knockout or Technical Knockout,1,2:27,147,147,54f64b5e283b0ce7
8308464729ea7c40,a0f0004aadf10b71,853eb0dd5c0e2149,66766984842c13dc,Flyweight,SUB,Submission,3,1:55,115,715,a0f0004aadf10b71
f722b96ae6862843,17e97649403ba428,6e15f63b6c2e2c15,66766984842c13dc,Flyweight,U-DEC,Unanimous Decision,3,5:00,300,900,17e97649403ba428
1ea9ad3b6e1cba79,08af939f41b5a57b,b6452706b373eea1,66766984842c13dc,Lightweight,U-DEC,Unanimous Decision,3,5:00,300,900,08af939f41b5a57b
f6a3c78f15ff26c7,6e743a33d56bdaa4,9256f591b30c073e,66766984842c13dc,Bantamweight,U-DEC,Unanimous Decision,3,5:00,300,900,6e743a33d56bdaa4
958522de54ccc536,d1c65d2cf2925ddd,0a1942069c9ad6b6,66766984842c13dc,Middleweight,KO/TKO,Knockout or Technical Knockout,1,4:21,261,261,d1c65d2cf2925ddd
2f523b757f7f33a2,7d6ceff6747f2de2,41cc71cbf210e0fe,66766984842c13dc,Featherweight,KO/TKO,Knockout or Technical Knockout,1,0:26,26,26,7d6ceff6747f2de2
815ff62ca8e217be,68d4a891e5cf2029,36541f1e6c5d4955,66766984842c13dc,Women's Flyweight,U-DEC,Unanimous Decision,3,5:00,300,900,68d4a891e5cf2029
d7be78c400e7e0f9,809bd1a871491508,19c591115a58982c,66766984842c13dc,Lightweight,SUB,Submission,1,0:55,55,55,809bd1a871491508
9bff9fe298e63357,85497ffd934ecf7e,d8da10db80131bec,66766984842c13dc,Welterweight,SUB,Submission,2,4:03,243,543,85497ffd934ecf7e
043172689e415438,25f9a5f3e8a52618,ab2a4b5e04dc5fe9,66766984842c13dc,Heavyweight,U-DEC,Unanimous Decision,3,5:00,300,900,25f9a5f3e8a52618
03bc32bdb5a33496,749f572d1d3161fb,5444c5a201d3ee5a,400c7b43c86d27d3,Light Heavyweight,U-DEC,Unanimous Decision,5,5:00,300,1500,749f572d1d3161fb
a1afc16e21d1a807,c814b4c899793af6,e4a47b07044ddd72,400c7b43c86d27d3,Lightweight,U-DEC,Unanimous Decision,3,5:00,300,900,c814b4c899793af6
8e5744c664fec3e9,fa6796c55d6c5440,739fd4fbb5d862f4,400c7b43c86d27d3,Heavyweight,S-DEC,Split Decision,3,5:00,300,900,fa6796c55d6c5440
36ec204f47e4d613,bf2c8e01b07d3eb1,ae81a3ac7b260411,400c7b43c86d27d3,Catch Weight,SUB,Submission,1,4:35,275,275,bf2c8e01b07d3eb1
7513a00037094075,ff62013d2fce6d13,37f560436d745c18,400c7b43c86d27d3,Lightweight,KO/TKO,Knockout or Technical Knockout,2,4:17,257,557,ff62013d2fce6d13
19764211af05674c,8d11d9c13e2ccdf7,fb37795db81f93f3,400c7b43c86d27d3,Featherweight,U-DEC,Unanimous Decision,3,5:00,300,900,8d11d9c13e2ccdf7
e512b80bbaea36c2,4a07b1988477502c,6b56e94a59b7b134,400c7b43c86d27d3,Welterweight,U-DEC,Unanimous Decision,3,5:00,300,900,4a07b1988477502c
5fcf18bcd2a020f1,285ae0b4a68221f4,6a96ad1bc34fb113,400c7b43c86d27d3,Middleweight,U-DEC,Unanimous Decision,3,5:00,300,900,285ae0b4a68221f4
fff3218758c513b8,07047eb7d17fb0a2,bd532e9a2b93870c,400c7b43c86d27d3,Women's Bantamweight,U-DEC,Unanimous Decision,3,5:00,300,900,07047eb7d17fb0a2
2bfc0212f2cae65b,9f5e3c20ce40b344,103e2e33a60683e1,400c7b43c86d27d3,Women's Bantamweight,U-DEC,Unanimous Decision,3,5:00,300,900,9f5e3c20ce40b344
8c140756bf43dcc2,f00ac08ab056af5d,7f1bf0c255ec8756,400c7b43c86d27d3,Flyweight,U-DEC,Unanimous Decision,3,5:00,300,900,f00ac08ab056af5d
a12d3a6c8aaf87ca,da7f113b5ea39c43,3329d692aea4dc28,400c7b43c86d27d3,Heavyweight,U-DEC,Unanimous Decision,3,5:00,300,900,da7f113b5ea39c43
